country,Code,year,gdp_change_%,literacy_rate_%,literacy_change_%
Georgia,GEO,2017,4.843,99.36426,-0.22285218462519962
Georgia,GEO,2019,4.982,99.55844,0.195422378227339
Ghana,GHA,2000,3.596,57.89747,
Ghana,GHA,2010,7.768,71.49707,23.489109282322683
Ghana,GHA,2018,6.2,79.03964,10.549481258462778
Ghana,GHA,2020,0.514,80.38,1.6958073189604406
Greece,GRC,1981,-1.556,90.51232,
Greece,GRC,1991,3.102,92.61045,2.3180601270633705
Greece,GRC,2001,4.132,95.99436,3.6539181053542036
Greece,GRC,2005,0.599,93.04431,-3.073149297521238
Greece,GRC,2007,3.274,93.93155,0.9535671767569642
Greece,GRC,2009,-4.301,93.90511,-0.028148156822715986
Greece,GRC,2011,-10.149,97.36874,3.688436124509109
Greece,GRC,2018,1.668,97.93595,0.5825380917941381
Grenada,GRD,1980,15.067,98.4,
Grenada,GRD,1984,3.963,98.6,0.20325203252031798
Grenada,GRD,1994,1.838,98.6,0.0
Grenada,GRD,2004,-0.647,98.6,0.0
Grenada,GRD,2014,7.342,98.6,0.0
Guatemala,GTM,1994,3.5,64.21164,
Guatemala,GTM,2002,3.839,69.10173,7.615581847777131
Guatemala,GTM,2012,2.975,78.26486,13.260348185204606
Guatemala,GTM,2013,3.695,77.03867,-1.5667184481004681
Guatemala,GTM,2014,4.444,81.2859,5.513114387878204
Guatemala,GTM,2018,3.407,80.81068,-0.5846278382843684
Guatemala,GTM,2021,8.002,83.35,3.142307427681579
Guinea,GIN,1996,4.462,20.55375,
Guinea,GIN,2003,1.249,29.70402,44.518737456668475
Guinea,GIN,2010,4.219,25.30774,-14.800286291215803
Guinea,GIN,2014,3.697,32.00384,26.458703938004735
Guinea,GIN,2018,6.358,39.61768,23.790395152581702
Guinea,GIN,2021,5.048,45.33,14.418613104048482
Guinea-Bissau,GNB,2000,1.1,41.35777,
Guinea-Bissau,GNB,2014,0.965,45.58116,10.2118416926251
Guinea-Bissau,GNB,2021,6.4,52.89,16.0347827918377
Guyana,GUY,2009,3.319,84.99401,
Guyana,GUY,2014,1.686,85.63973,0.7597241264413856
Guyana,GUY,2021,20.06,88.85,3.7485755735100934
Haiti,HTI,1982,-2.797,34.73469,
Haiti,HTI,2003,3.481,58.7439,69.12170513109514
Haiti,HTI,2006,1.769,48.68502,-17.12327577842124
Haiti,HTI,2016,1.812,61.69135,26.71526066950367
Honduras,HND,2001,2.723,80.01103,
Honduras,HND,2007,6.188,83.58899,4.471833445963624
Honduras,HND,2010,3.731,84.75536,1.3953631931669541
Honduras,HND,2011,3.836,85.1233,0.4341200367740772
Honduras,HND,2012,4.129,85.35555,0.2728395163251296
Honduras,HND,2013,2.792,85.46442,0.12754882371446286
Honduras,HND,2014,3.058,87.19753,2.0278731195976007
Honduras,HND,2015,3.84,87.90683,0.8134404724537525
Honduras,HND,2016,3.893,88.98748,1.2293128986678337
Honduras,HND,2018,3.845,87.20524,-2.0027985959373162
Honduras,HND,2019,2.653,88.50743,1.4932474241226679
Hungary,HUN,1980,0.215,98.85829,
Hungary,HUN,1990,-3.497,99.1,0.2445014980534177
Hungary,HUN,2014,4.232,99.1,0.0
Hungary,HUN,2021,7.2,99.1,0.0
India,IND,1981,6.006,40.76359,
India,IND,1991,1.057,48.22207,18.296916439400945
India,IND,2001,4.944,61.01456,26.528288810496935
India,IND,2006,9.264,62.75447,2.8516308238557997
India,IND,2011,6.638,69.30256,10.434459887877324
India,IND,2018,6.454,74.37299,7.31636753389775
Indonesia,IDN,1980,9.88,67.31267,
Indonesia,IDN,1990,9.002,81.51985,21.106249388116694
Indonesia,IDN,2004,5.031,90.38479,10.874578400230117
Indonesia,IDN,2006,5.501,91.98227,1.767421266343594
Indonesia,IDN,2008,7.442,92.1923,0.2283374828649043
Indonesia,IDN,2009,4.702,92.5817,0.422378007707791
Indonesia,IDN,2011,6.17,92.81191,0.24865605189794415
Indonesia,IDN,2014,5.007,95.11622,2.482774031910351
Indonesia,IDN,2015,4.876,95.21793,0.10693234024647946
Indonesia,IDN,2016,5.033,95.37697,0.1670273655392407
Indonesia,IDN,2018,5.174,95.65856,0.295238986937818
Indonesia,IDN,2020,-2.066,95.99901,0.3559012387391203
Iran,IRN,1986,-9.785,52.31976,
Iran,IRN,1991,12.716,65.5314,25.251721338171286
Iran,IRN,1996,6.351,73.06025,11.48891981553879
Iran,IRN,2002,8.079,77.0,5.392467176063587
Iran,IRN,2005,3.19,82.4412,7.06649350649351
Iran,IRN,2006,5.0,82.33132,-0.13328287312652787
Iran,IRN,2008,0.251,82.9623,0.7663912105380977
Iran,IRN,2012,-3.747,83.62599,0.7999898749190937
Iran,IRN,2013,-1.522,84.6268,1.1967690905662298
Iran,IRN,2014,4.985,84.70524,0.09268931355079779
Iran,IRN,2016,8.815,85.54425,0.9905054279994996
Iran,IRN,2021,4.72,88.74,3.735785865210106
Iraq,IRQ,2000,-4.341,74.0522,
Iraq,IRQ,2012,13.936,77.2,4.250785256886358
Iraq,IRQ,2013,7.628,72.7,-5.829015544041449
Iraq,IRQ,2014,0.738,82.2,13.067400275103157
Iraq,IRQ,2016,15.199,83.3,1.338199513381988
Iraq,IRQ,2017,-3.399,85.6,2.761104441776707
Israel,ISR,1983,2.586,91.75141,
Italy,ITA,1981,0.557,96.46054,
Italy,ITA,2001,1.951,98.41662,2.027855120860811
Italy,ITA,2011,0.707,98.84828,0.43860478037145434
Italy,ITA,2018,0.926,99.15576,0.31106256982924574
Italy,ITA,2019,0.483,99.3491,0.19498615108191064
Jamaica,JAM,1999,0.981,79.92012,
Jamaica,JAM,2014,0.575,88.1,10.235069717112545
Jordan,JOR,2003,3.98,89.89232,
Jordan,JOR,2005,8.822,91.13075,1.377681652893159
Jordan,JOR,2007,8.373,92.19958,1.1728532904645261
Jordan,JOR,2010,2.315,92.55104,0.381194795030515
Jordan,JOR,2011,2.737,95.90445,3.623308825054794
Jordan,JOR,2012,2.429,97.89032,2.070675552594281
Jordan,JOR,2018,1.919,98.22711,0.34404831856713614
Jordan,JOR,2021,2.223,98.42,0.1963714497962954
Kazakhstan,KAZ,1999,2.7,99.51266,2.0335205658028377
Kazakhstan,KAZ,2009,1.2,99.73241,0.22082617427772178
Kazakhstan,KAZ,2010,7.299,99.78163,0.04935206118050761
Kazakhstan,KAZ,2018,4.1,99.78163,0.0
Kazakhstan,KAZ,2020,-2.6,99.8,0.01841020235888724
Kenya,KEN,2000,0.347,82.22908,
Kenya,KEN,2007,6.851,72.15703,-12.248768927002452
Kenya,KEN,2014,5.02,78.73304,9.113470995133799
Kenya,KEN,2018,5.671,81.53497,3.5587727845895367
Kenya,KEN,2021,7.59,82.62,1.3307541537085354
Kuwait,KWT,1985,-4.258,74.49087,10.32797937606249
Kuwait,KWT,1995,1.669,78.3955,5.241756472974468
Kuwait,KWT,2005,10.609,93.27446,18.97935468234784
Kuwait,KWT,2006,7.515,93.28212,0.008212323073220062
Kuwait,KWT,2007,5.992,93.66419,0.409585459678663
Kuwait,KWT,2008,2.48,93.8983,0.24994611067474803
Kuwait,KWT,2010,-2.371,94.46901,0.6077958812885864
Kuwait,KWT,2012,6.626,95.51317,1.1052936830818982
Kuwait,KWT,2013,1.149,95.58582,0.07606280892991091
Kuwait,KWT,2015,0.593,95.68545,0.10423094136766675
Kuwait,KWT,2017,-4.712,96.03595,0.3663043858810333
Kuwait,KWT,2018,2.434,96.05647,0.021366998504213086
Kuwait,KWT,2020,-8.855,96.45754,0.4175356433564481
Kyrgyzstan,KGZ,1999,3.656,98.70161,
Kyrgyzstan,KGZ,2009,2.886,99.24343,0.5489474791748661
Kyrgyzstan,KGZ,2018,3.459,99.586,0.34518153997700196
Kyrgyzstan,KGZ,2019,4.601,99.6,0.014058200951927446
Laos,LAO,1995,7.045,60.25133,
Laos,LAO,2000,6.429,69.58312,15.488106237654819
Laos,LAO,2001,4.772,68.73439,-1.2197354760752122
Laos,LAO,2005,6.94,72.70226,5.772758003671807
Laos,LAO,2011,7.986,58.28794,-19.82650883205006
Laos,LAO,2015,7.27,84.66104,45.2462379010135
Laos,LAO,2021,,87.07,2.8454174434899393
Latvia,LVA,2000,5.676,99.74657,0.29589059277665974
Latvia,LVA,2011,2.574,99.8959,0.14970940855409953
Latvia,LVA,2018,3.992,99.88931,-0.006596867338903856
Latvia,LVA,2021,4.277,99.89,0.0006907646073583962
Lebanon,LBN,2007,9.312,89.61244,
Lebanon,LBN,2009,10.234,91.18419,1.753941751837118
